test_id,category,model,prompt_type,input_tokens,output_tokens,total_tokens,latency_seconds,output_text,assertions_passed,assertions_failed,semantic_similarity,parse_error,timestamp
B1,table_transform,mock-model-1,baseline,45,10,55,0.10016298294067383,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""all_amounts>=10000"": true, ""date_format:YYYY-MM-DD"": false, ""row_count_matches_filter"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:22:37.022767
B1,table_transform,mock-model-1,ilang,3,10,13,0.10013723373413086,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""all_amounts>=10000"": true, ""date_format:YYYY-MM-DD"": false, ""row_count_matches_filter"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:22:37.123011
B2,table_transform,mock-model-1,baseline,29,10,39,0.10016655921936035,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sorted_by:total_sales|desc"": true, ""numeric_fields:total_sales,avg_sale,transaction_count"": true}","[""is_array""]",,,2026-05-08T22:22:37.223272
B2,table_transform,mock-model-1,ilang,3,10,13,0.1001276969909668,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sorted_by:total_sales|desc"": true, ""numeric_fields:total_sales,avg_sale,transaction_count"": true}","[""is_array""]",,,2026-05-08T22:22:37.323521
B3,table_transform,mock-model-1,baseline,37,10,47,0.10010385513305664,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""nested_structure"": true, ""all_values_numeric"": true}",[],,,2026-05-08T22:22:37.423720
B3,table_transform,mock-model-1,ilang,3,10,13,0.1001734733581543,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""nested_structure"": true, ""all_values_numeric"": true}",[],,,2026-05-08T22:22:37.523986
B4,table_transform,mock-model-1,baseline,36,10,46,0.10013985633850098,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:name"": false, ""field_exists:email"": false, ""no_null_in_required_fields"": true}","[""is_array"", ""field_exists:name"", ""field_exists:email""]",,,2026-05-08T22:22:37.624224
B4,table_transform,mock-model-1,ilang,3,10,13,0.10013079643249512,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:name"": false, ""field_exists:email"": false, ""no_null_in_required_fields"": true}","[""is_array"", ""field_exists:name"", ""field_exists:email""]",,,2026-05-08T22:22:37.724456
B5,table_transform,mock-model-1,baseline,33,10,43,0.10015535354614258,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""date_format:YYYY-MM-DD"": false, ""numeric_fields:total_requests,avg_latency,max_error_rate"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:22:37.824719
B5,table_transform,mock-model-1,ilang,3,10,13,0.10014176368713379,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""date_format:YYYY-MM-DD"": false, ""numeric_fields:total_requests,avg_latency,max_error_rate"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:22:37.924964
C1,code_generation,mock-model-1,baseline,30,3,33,0.10015320777893066,Mock response text,"{""starts_with:def"": true, ""contains:docstring"": false, ""contains:type_hints"": false, ""syntax_valid:python"": true}","[""contains:docstring"", ""contains:type_hints""]",,,2026-05-08T22:22:38.025191
C1,code_generation,mock-model-1,ilang,3,3,6,0.10013699531555176,Mock response text,"{""starts_with:def"": true, ""contains:docstring"": false, ""contains:type_hints"": false, ""syntax_valid:python"": true}","[""contains:docstring"", ""contains:type_hints""]",,,2026-05-08T22:22:38.125409
C2,code_generation,mock-model-1,baseline,33,10,43,0.10013723373413086,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:issue"": false, ""field_exists:fix"": false, ""field_exists:explanation"": false, ""syntax_valid:fix"": true}","[""field_exists:issue"", ""field_exists:fix"", ""field_exists:explanation""]",,,2026-05-08T22:22:38.225645
C2,code_generation,mock-model-1,ilang,3,10,13,0.10009551048278809,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:issue"": false, ""field_exists:fix"": false, ""field_exists:explanation"": false, ""syntax_valid:fix"": true}","[""field_exists:issue"", ""field_exists:fix"", ""field_exists:explanation""]",,,2026-05-08T22:22:38.325852
C3,code_generation,mock-model-1,baseline,26,3,29,0.10011506080627441,Mock response text,"{""contains:import pytest"": false, ""contains:def test_"": false, ""min_test_count:3"": true, ""syntax_valid:python"": true}","[""contains:import pytest"", ""contains:def test_""]",,,2026-05-08T22:22:38.426048
C3,code_generation,mock-model-1,ilang,3,3,6,0.10012149810791016,Mock response text,"{""contains:import pytest"": false, ""contains:def test_"": false, ""min_test_count:3"": true, ""syntax_valid:python"": true}","[""contains:import pytest"", ""contains:def test_""]",,,2026-05-08T22:22:38.526243
C4,code_generation,mock-model-1,baseline,26,3,29,0.10010337829589844,Mock response text,"{""syntax_valid:python"": true, ""has_comments"": true, ""function_count_increased"": true, ""length_similar"": true}",[],,,2026-05-08T22:22:38.626414
C4,code_generation,mock-model-1,ilang,3,3,6,0.10012578964233398,Mock response text,"{""syntax_valid:python"": true, ""has_comments"": true, ""function_count_increased"": true, ""length_similar"": true}",[],,,2026-05-08T22:22:38.726609
C5,code_generation,mock-model-1,baseline,28,3,31,0.10010266304016113,Mock response text,"{""starts_with:SELECT"": true, ""syntax_valid:sql"": true, ""contains_required_tables"": true}",[],,,2026-05-08T22:22:38.826781
C5,code_generation,mock-model-1,ilang,3,3,6,0.1001119613647461,Mock response text,"{""starts_with:SELECT"": true, ""syntax_valid:sql"": true, ""contains_required_tables"": true}",[],,,2026-05-08T22:22:38.926963
D1,data_extraction,mock-model-1,baseline,32,10,42,0.10010766983032227,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:party_a"": false, ""field_exists:party_b"": false, ""date_format:start_date=YYYY-MM-DD"": false, ""date_format:end_date=YYYY-MM-DD"": false}","[""field_exists:party_a"", ""field_exists:party_b"", ""date_format:start_date=YYYY-MM-DD"", ""date_format:end_date=YYYY-MM-DD""]",,,2026-05-08T22:22:39.027227
D1,data_extraction,mock-model-1,ilang,3,10,13,0.10012125968933105,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:party_a"": false, ""field_exists:party_b"": false, ""date_format:start_date=YYYY-MM-DD"": false, ""date_format:end_date=YYYY-MM-DD"": false}","[""field_exists:party_a"", ""field_exists:party_b"", ""date_format:start_date=YYYY-MM-DD"", ""date_format:end_date=YYYY-MM-DD""]",,,2026-05-08T22:22:39.127463
D2,data_extraction,mock-model-1,baseline,25,10,35,0.10011839866638184,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:people"": false, ""field_exists:organizations"": false, ""all_arrays"": true, ""date_format_in_dates"": true}","[""field_exists:people"", ""field_exists:organizations""]",,,2026-05-08T22:22:39.227682
D2,data_extraction,mock-model-1,ilang,3,10,13,0.10015058517456055,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:people"": false, ""field_exists:organizations"": false, ""all_arrays"": true, ""date_format_in_dates"": true}","[""field_exists:people"", ""field_exists:organizations""]",,,2026-05-08T22:22:39.327936
D3,data_extraction,mock-model-1,baseline,26,10,36,0.10011506080627441,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:invoice_number"": false, ""date_format:YYYY-MM-DD"": false, ""is_array:line_items"": false, ""numeric_fields:subtotal,tax,total"": true, ""math_check:subtotal+tax=total"": true}","[""field_exists:invoice_number"", ""date_format:YYYY-MM-DD"", ""is_array:line_items""]",,,2026-05-08T22:22:39.428166
D3,data_extraction,mock-model-1,ilang,3,10,13,0.10012030601501465,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:invoice_number"": false, ""date_format:YYYY-MM-DD"": false, ""is_array:line_items"": false, ""numeric_fields:subtotal,tax,total"": true, ""math_check:subtotal+tax=total"": true}","[""field_exists:invoice_number"", ""date_format:YYYY-MM-DD"", ""is_array:line_items""]",,,2026-05-08T22:22:39.528395
D4,data_extraction,mock-model-1,baseline,27,10,37,0.10011863708496094,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:name"": false, ""field_exists:email"": false, ""is_array:education"": false, ""is_array:experience"": false, ""is_array:skills"": false}","[""field_exists:name"", ""field_exists:email"", ""is_array:education"", ""is_array:experience"", ""is_array:skills""]",,,2026-05-08T22:22:39.628617
D4,data_extraction,mock-model-1,ilang,3,10,13,0.10012364387512207,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:name"": false, ""field_exists:email"": false, ""is_array:education"": false, ""is_array:experience"": false, ""is_array:skills"": false}","[""field_exists:name"", ""field_exists:email"", ""is_array:education"", ""is_array:experience"", ""is_array:skills""]",,,2026-05-08T22:22:39.728844
D5,data_extraction,mock-model-1,baseline,28,10,38,0.10011959075927734,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""min_fields:5"": true, ""no_empty_values"": true}",[],,,2026-05-08T22:22:39.829082
D5,data_extraction,mock-model-1,ilang,3,10,13,0.1000981330871582,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""min_fields:5"": true, ""no_empty_values"": true}",[],,,2026-05-08T22:22:39.929305
E1,multi_turn,mock-model-1,baseline,29,10,39,0.10013103485107422,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sequential_steps"": true, ""numeric_results"": true, ""final_result_correct"": true}","[""is_array""]",,,2026-05-08T22:22:40.029538
E1,multi_turn,mock-model-1,ilang,3,10,13,0.10010862350463867,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sequential_steps"": true, ""numeric_results"": true, ""final_result_correct"": true}","[""is_array""]",,,2026-05-08T22:22:40.129752
E2,multi_turn,mock-model-1,baseline,31,10,41,0.10010981559753418,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:executed_steps"": false, ""field_exists:skipped_steps"": false, ""is_array:executed_steps"": false, ""is_array:skipped_steps"": false}","[""field_exists:executed_steps"", ""field_exists:skipped_steps"", ""is_array:executed_steps"", ""is_array:skipped_steps""]",,,2026-05-08T22:22:40.229962
E2,multi_turn,mock-model-1,ilang,3,10,13,0.10010862350463867,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:executed_steps"": false, ""field_exists:skipped_steps"": false, ""is_array:executed_steps"": false, ""is_array:skipped_steps"": false}","[""field_exists:executed_steps"", ""field_exists:skipped_steps"", ""is_array:executed_steps"", ""is_array:skipped_steps""]",,,2026-05-08T22:22:40.330185
E3,multi_turn,mock-model-1,baseline,34,10,44,0.10010600090026855,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""length:3"": true, ""progressive_improvement"": true, ""final_text_better"": true}","[""is_array""]",,,2026-05-08T22:22:40.430382
E3,multi_turn,mock-model-1,ilang,3,10,13,0.10011696815490723,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""length:3"": true, ""progressive_improvement"": true, ""final_text_better"": true}","[""is_array""]",,,2026-05-08T22:22:40.530596
E4,multi_turn,mock-model-1,baseline,31,10,41,0.10010075569152832,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:path"": false, ""is_array:path"": false, ""field_exists:decision"": false, ""confidence_range:0-1"": true}","[""field_exists:path"", ""is_array:path"", ""field_exists:decision""]",,,2026-05-08T22:22:40.630822
E4,multi_turn,mock-model-1,ilang,3,10,13,0.10010480880737305,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:path"": false, ""is_array:path"": false, ""field_exists:decision"": false, ""confidence_range:0-1"": true}","[""field_exists:path"", ""is_array:path"", ""field_exists:decision""]",,,2026-05-08T22:22:40.731049
E5,multi_turn,mock-model-1,baseline,34,10,44,0.10013127326965332,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:transitions"": false, ""is_array:transitions"": false, ""field_exists:final_state"": false, ""boolean:valid"": true}","[""field_exists:transitions"", ""is_array:transitions"", ""field_exists:final_state""]",,,2026-05-08T22:22:40.831284
E5,multi_turn,mock-model-1,ilang,3,10,13,0.10010075569152832,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:transitions"": false, ""is_array:transitions"": false, ""field_exists:final_state"": false, ""boolean:valid"": true}","[""field_exists:transitions"", ""is_array:transitions"", ""field_exists:final_state""]",,,2026-05-08T22:22:40.931486
F1,complex_pipeline,mock-model-1,baseline,33,10,43,0.10011839866638184,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:url"": false, ""field_exists:title"": false, ""field_exists:summary"": true, ""is_array:keywords"": false}","[""is_array"", ""field_exists:url"", ""field_exists:title"", ""is_array:keywords""]",,,2026-05-08T22:22:41.031703
F1,complex_pipeline,mock-model-1,ilang,3,10,13,0.10009908676147461,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:url"": false, ""field_exists:title"": false, ""field_exists:summary"": true, ""is_array:keywords"": false}","[""is_array"", ""field_exists:url"", ""field_exists:title"", ""is_array:keywords""]",,,2026-05-08T22:22:41.131915
F2,complex_pipeline,mock-model-1,baseline,30,10,40,0.10010719299316406,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicates"": true, ""no_missing_values"": true, ""field_exists:age_group"": false, ""field_exists:region_code"": false}","[""is_array"", ""field_exists:age_group"", ""field_exists:region_code""]",,,2026-05-08T22:22:41.232120
F2,complex_pipeline,mock-model-1,ilang,3,10,13,0.10010695457458496,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicates"": true, ""no_missing_values"": true, ""field_exists:age_group"": false, ""field_exists:region_code"": false}","[""is_array"", ""field_exists:age_group"", ""field_exists:region_code""]",,,2026-05-08T22:22:41.332346
F3,complex_pipeline,mock-model-1,baseline,30,10,40,0.10010910034179688,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicate_ids"": true, ""field_exists:source"": false, ""conflict_resolved"": true}","[""is_array"", ""field_exists:source""]",,,2026-05-08T22:22:41.432576
F3,complex_pipeline,mock-model-1,ilang,3,10,13,0.10009980201721191,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicate_ids"": true, ""field_exists:source"": false, ""conflict_resolved"": true}","[""is_array"", ""field_exists:source""]",,,2026-05-08T22:22:41.532792
F4,complex_pipeline,mock-model-1,baseline,34,10,44,0.10010051727294922,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:data"": false, ""field_exists:errors"": false, ""is_array:data"": false, ""is_array:errors"": false, ""all_valid_in_data"": true}","[""field_exists:data"", ""field_exists:errors"", ""is_array:data"", ""is_array:errors""]",,,2026-05-08T22:22:41.632993
F4,complex_pipeline,mock-model-1,ilang,3,10,13,0.10011887550354004,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:data"": false, ""field_exists:errors"": false, ""is_array:data"": false, ""is_array:errors"": false, ""all_valid_in_data"": true}","[""field_exists:data"", ""field_exists:errors"", ""is_array:data"", ""is_array:errors""]",,,2026-05-08T22:22:41.733209
F5,complex_pipeline,mock-model-1,baseline,30,3,33,0.1001124382019043,Mock response text,"{""contains:Executive Summary"": false, ""contains:Detailed Metrics"": false, ""contains:Anomalies"": false, ""contains:Recommendations"": false, ""markdown_valid"": true}","[""contains:Executive Summary"", ""contains:Detailed Metrics"", ""contains:Anomalies"", ""contains:Recommendations""]",,,2026-05-08T22:22:41.833393
F5,complex_pipeline,mock-model-1,ilang,3,10,13,0.10010266304016113,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""contains:Executive Summary"": false, ""contains:Detailed Metrics"": false, ""contains:Anomalies"": false, ""contains:Recommendations"": false, ""markdown_valid"": true}","[""contains:Executive Summary"", ""contains:Detailed Metrics"", ""contains:Anomalies"", ""contains:Recommendations""]",,,2026-05-08T22:22:41.933568
